Keyword,homelight.com,redfin.com,trulia.com,remax.com,compass.com,Search Volume,Keyword Difficulty,CPC,Competition,Results,Keyword Intents,homelight.com (pages),redfin.com (pages),trulia.com (pages),remax.com (pages),compass.com (pages)
malibu,0,93,0,0,0,165000,92,2.34,0.36,217000000,informational,,https://www.redfin.com/city/11532/CA/Malibu,,,
movoto,0,0,0,28,0,165000,73,0.36,0.15,65,navigational,,,,https://www.remax.com/,
san bernardino,0,0,84,0,0,165000,100,0.75,0.01,125000000,informational,,,https://www.trulia.com/CA/San_Bernardino/,,
silver dollar city,0,0,86,0,0,165000,78,0.13,0.1,218000000,navigational,,,"https://www.trulia.com/for_sale/Silver_Dollar_City,MO/CONDO_type/",,
90210,0,0,28,0,0,135000,80,2.11,0.01,33000000,"informational, transactional",,,https://www.trulia.com/CA/Beverly_Hills/90210/,,
anaheim,0,91,0,0,0,135000,95,1.14,0.01,175000000,informational,,https://www.redfin.com/city/517/CA/Anaheim,,,
beverly hills,0,30,0,0,0,135000,89,0.67,0.01,288000000,informational,,https://www.redfin.com/city/1669/CA/Beverly-Hills,,,
boise idaho,0,56,0,0,0,135000,84,1.03,0.01,87200000,informational,,https://www.redfin.com/city/2287/ID/Boise,,,
bright mls,0,58,74,49,76,135000,64,1.83,0,95,"informational, navigational",,https://www.redfin.com/VA/Reston/11264-Bright-Pond-Ln-20194/home/9125392,https://www.trulia.com/p/md/cumberland/901-903-bedford-st-cumberland-md-21502--2487810690,https://www.remax.com/homes-for-sale/pa/gettysburg/zip/17325,https://www.compass.com/listing/1117-carrington-avenue-capitol-heights-md-20743/1131166179372652273/
charlotte nc,0,19,0,0,0,135000,97,0.66,0.01,516000000,informational,,https://www.redfin.com/city/3105/NC/Charlotte,,,
circle k near me,0,0,0,52,0,135000,60,0.55,0.02,80,"navigational, transactional",,,,https://www.remax.com/homes-for-sale,
craigslist long island,0,0,50,0,0,135000,68,0.96,0,55,"navigational, transactional",,,https://www.trulia.com/for_sale/36059_c/foreclosure_lt/,,
denver colorado,0,76,0,0,0,135000,100,0.70,0.01,797000000,informational,,https://www.redfin.com/city/5155/CO/Denver,,,
dr horton,0,71,0,0,0,135000,86,0.83,0.03,87,navigational,,https://www.redfin.com/TX/Keller/11520-Hartwell-LN-76244/home/181715109,,,
eb,0,0,0,0,96,135000,89,5.90,0.01,1660000000,navigational,,,,,https://www.compass.com/agents/eb-team/
hell's kitchen,0,0,0,0,22,135000,92,1.18,0.01,21300000,"informational, transactional",,,,,https://www.compass.com/neighborhood-guides/nyc/hells-kitchen/
house for rent,0,22,3,19,40,135000,99,0.50,0.38,62,informational,,https://www.redfin.com/rentals,https://www.trulia.com/rent/,https://www.remax.com/homes-for-rent,https://www.compass.com/
invitation homes,0,0,88,0,0,135000,87,0.21,0.14,101000000,navigational,,,https://www.trulia.com/p/fl/port-saint-lucie/1702-se-fallon-dr-port-saint-lucie-fl-34983--2095818308,,
jason lee,0,0,0,0,81,135000,66,0.76,0,352000000,informational,,,,,https://www.compass.com/agents/jason-lee/
madison ivy,0,66,0,0,0,135000,56,0.00,0,66100000,informational,,https://www.redfin.com/FL/Apopka/1725-Madison-Ivy-Cir-32712/home/46594495,,,
malaise,0,0,0,92,0,135000,79,0.08,0,126000000,informational,,,,https://www.remax.com/real-estate-agents/gail-malaise-mckinney-tx/100016815,
matthew lawrence,0,0,0,42,0,135000,64,0.48,0,125000000,informational,,,,https://www.remax.com/real-estate-agents/matthew-lawrence-gurnee-il/100022982,
mayfield ky,0,0,67,72,0,135000,50,0.48,0.01,5120000,informational,,,https://www.trulia.com/KY/Mayfield/,https://www.remax.com/homes-for-sale/ky/mayfield/city/2150898,
mortgage,0,0,52,0,0,135000,100,8.42,0.31,1110000000,informational,,,https://www.trulia.com/mortgages/,,
